id,period,year,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HGC_OF_MOTHER_AS_OF_MAY_1_R,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND_TIME_W_DAD,HOW_OFT_CH_W_DAD_OUTDOORS,DO_PARS_DISCUSS_TV,PIAT_MATH,PIAT_READ_REC,PIAT_READ_COMP,PPVT,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,MOM_HELPS_CH_W_NONE,IF_LOW_GRADES,TYPE_OF_SCHOOL,CH_ATTENDS_PUBLIC_PRIV_RELI,CHILD_AGE_WHEN_1ST_ATTD_HEA,IS_SCHOOL_GIFTED_HANDICAPPED,OWN_A_HOME_COMPUTER,PARS_HELP_W_HOMEWORK,TYPE_OF_SCHOOL_RECODE,DOES_CHILD_USE_ANY_COMPUTER,DOES_CHILD_NEVER_USE,MOMHGC_EVER_XRND,TOTAL_FAMILY_INCOME_FR_ALL,FAMILY_INCOME_FROM_ALL_SOUR,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,VERSION_R29_XRND,HIGHEST_GRADE_OF_REGULAR_SC,SPOUSE_WKSWK_PCY,SPOUSE_HRSWK_PCY,MOM_RACE_ID,MOM_RACE_ENCODED,MOM_SEX,WKSWK_PCY,HRSWK_PCY,HGC_REV_MOM,TNFI_TRUNC,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,Q2_15C,Q2_15A_PRE,HGC_EVER_XRND,HIGHEST_DEGREE_EVER_XRND
201.0,-1,1992.0,2.0,3.0,2.0,1993.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,10.0,0.0,0.0,0.0,1.0,0.0,532.0,,52.0,43.0,,3.0,,52.0,1820.0,12.0,,,,,,,,,,,,,,,,,,,12.0,1.0
201.0,0,1995.5,2.0,3.0,2.0,1993.0,12.0,20.0,7.0,14.0,1.0,1.75,2.5,3.25,0.028846153846153844,1.0,0.0,0.028846153846153844,1.0,1.0,0.0,10.0,10.0,10.0,30.0,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,10.0,0.0,0.0,0.0,1.0,0.0,532.0,,52.0,35.931603773584904,,3.0,,8.9335066979193,312.84400793959554,12.0,132639.16937800578,,,,,,,,,,,,,,,,,,12.0,1.0
201.0,1,2000.5,2.0,3.0,2.0,1993.0,12.0,20.0,5.5,14.0,1.0,1.0,1.0,1.0,0.028846153846153848,1.0,0.0,0.028846153846153848,1.0,1.0,0.0,27.5,29.0625,26.25,53.333333333333336,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,10.0,0.0,0.0,0.0,1.0,0.0,532.0,,52.0,39.76191037735849,,3.0,,-0.23505733431889358,-4.578880886615185,12.0,116368.02193189412,,,,,,,,,,,,,,,,,,12.0,1.0
201.0,2,2005.0,2.0,3.0,2.0,1993.0,12.0,20.0,3.0,14.0,1.0,1.0,1.0,1.0,0.08173076923076923,1.0,0.5,0.014423076923076924,1.0,4.0,0.0,53.1875,49.7875,39.475,84.13333333333334,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,10.0,0.0,0.0,0.0,1.0,0.0,532.0,,52.0,39.9422641509434,,3.0,,33.46936479993775,584.9265969966348,12.0,94816.99625122015,,,,,,,,,,,,,,,,,,12.0,1.0
201.0,3,2010.0,2.0,3.0,2.0,1993.0,12.0,20.0,3.0,14.0,1.0,1.0,1.0,1.0,0.1346153846153846,1.0,1.0,0.0,1.0,7.0,0.0,55.0,52.0,42.0,86.0,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,10.0,0.0,0.0,0.0,1.0,0.0,532.0,,52.0,40.0,,3.0,,52.0,1118.0,12.0,66691.5385055826,,,,,,,,,,,,,,,,,,12.0,1.0
202.0,-1,1993.0,2.0,3.0,2.0,1994.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,532.0,,52.0,35.0,,3.0,,52.0,1820.0,12.0,133517.0340681363,,,,,,,,,,,,,,,,,,12.0,1.0
202.0,0,1996.5,2.0,3.0,2.0,1994.0,12.0,20.0,3.0,7.0,1.0,1.0,1.0,1.0,0.031049679487179488,1.0,0.0,0.0,1.0,1.0,0.0,13.0,18.0,18.0,56.0,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,,,,,,,532.0,,52.0,36.449999999999996,,3.0,,1.092590604603229,37.333251030573685,12.0,117323.42365817876,,,,,,,,,,,,,,,,,,12.0,1.0
202.0,1,2001.5,2.0,3.0,2.0,1994.0,12.0,20.0,2.641826923076923,7.0,1.0,1.0,1.0,1.0,0.0751201923076923,1.0,0.0,0.0,1.0,1.0,0.0,24.25,32.0,27.0,56.0,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,,,,,,,532.0,,52.00000000000001,40.0,,3.0,,1.1701090690484375,16.655015458605295,12.0,125681.00717908819,,,,,,,,,,,,,,,,,,12.0,1.0
202.0,2,2006.0,2.0,3.0,2.0,1994.0,12.0,20.0,0.1346153846153846,9.1,1.0,1.0,1.0,1.0,0.1266826923076923,0.7,0.0,0.04038461538461539,1.0,1.0,0.0,47.0,46.0,42.0,56.0,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,,,,,,,532.0,,52.0,40.0,,3.0,,42.75614908965991,746.1945723119203,12.0,69270.4763580476,,,,,,,,,,,,,,,,,,12.0,1.0
202.0,3,2010.8,2.0,3.0,2.0,1994.0,12.0,20.0,0.1346153846153846,14.0,1.0,1.0,1.0,1.0,0.1346153846153846,0.0,0.0,0.1346153846153846,1.0,1.0,0.0,47.0,46.0,42.0,56.0,,,2.0,5.0,1.0,,,,,,,1.0,,12.0,,,,,,,,,532.0,,52.0,40.0,,3.0,,52.0,1305.2,12.0,90568.6458631549,,,,,,,,,,,,,,,,,,12.0,1.0
301.0,-1,1980.0,3.0,3.0,2.0,1981.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,6.0,0.0,0.0,0.0,0.0,0.0,532.0,,,,,3.0,,40.0,1440.0,10.0,8008.016032064128,,,,,,,,,,,,,,,,,,12.0,1.0
301.0,0,1983.5,3.0,3.0,2.0,1981.0,10.0,20.0,1.0,7.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,27.0,32.0,33.0,50.0,0.0,,,5.0,1.0,1.0,,1.0,1.0,2.0,,,,12.0,,,6.0,0.0,0.0,0.0,0.0,0.0,532.0,,50.666666666666664,44.666666666666664,,3.0,,10.166666666666666,330.0,10.0,25079.15574005153,51.0,0.0,14.0,13.0,29.0,12.0,46.0,72.0,13.0,13.0,13.0,14.0,51.0,46.0,49444.0,,,12.0,1.0
